role_id,permission_id
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-374d-789f-bd3c-b9509330b997
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3750-7d95-b0c2-88b64df6a947
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3750-7ead-8cb0-3a8eee5611b0
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3750-7f3e-91a8-49344f152322
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3750-7fc5-86b4-7a3f77bd5a54
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7049-8687-cca003aa2cb7
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-70ca-be57-f52d9c310b4e
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7176-8e97-ca2def7481ea
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7221-8563-f8aad7915c4b
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7463-88cb-51f4e3a2c1eb
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-753f-991d-fbe57deebd42
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-75d0-b385-03d435af7008
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7658-aece-520f74c19b71
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-76d8-b73a-e982e0099c30
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-775c-a8c4-c2e86049f732
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-77e4-bdce-e9337c242887
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7860-8b85-9c86c6e5bf01
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-78e6-9614-03f6ac611fe3
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7988-bcff-164e4854cfe8
019c0cd2-374b-795a-a028-460024d912b7,019c0cd2-3751-7a0d-bef7-72bf918d6890
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-78cd-89b2-6c5cfc2fd6d9
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7e45-a91b-51d184281607
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7e94-824d-956f0d1c3da1
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7ec6-ab78-a644bce755ae
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7ef9-aa58-71dcd7b62a3c
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7f20-af93-31fcb795338e
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7f49-93f2-3e66e95469c6
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7f73-b2e9-11d946fc6a9b
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7f9d-b91d-19bd05f8382f
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7fcf-8d7e-0377df89f282
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6cea-7ff9-a26e-143326aeedc7
019c0cd2-374b-795a-a028-460024d912b7,019ea1e1-6ceb-7021-a173-8bb2f0f00189
